Asset tag,Break/Fix Coverage Expiry,Break/Fix Service level,Break/Fix Service Provider,Building,Candidate for Currency,Candidate to Move to NY3,Class,Comments,Effective Date,Environment,Host name,iLO/RSA/HMC ip address,iLO/RSA/HMC Service Info,Install Date,IP Address,Is Virtual,Level 1 Support Group,Level 2 Support Group,Level 3 Support Group,Maintenance Window,Model ID,Operating System,OS Family,OS Status,OS Version,Project Change Notes,Serial number,SNow most recent discovery,State,Status(hardware status),Substate,TD Asset Application Code,Cabinet,Cage,CPU core count,CPU count,Disk space (GB),Logical CPUs,RU Start Position,Total Memory (MB)
A31576,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"Moved to this location on 9/23/2022 - Location DRT 2319 RU 4
2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KST old  ch-l-prod013 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda23

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/19/2022 19:41,DEV,ny4tdsatlda23,10.225.33.149,ny4tdsatlda23r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.71,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KST,8/2/2025 8:10,In use,Installed,,HDLDS,102,8235,40,2,,160,36,772909
B11151,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"Moved on this location on 9/16/2022
2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KT1 old  ch-l-prod010 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda24

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",7/6/2022 19:35,DEV,ny4tdsatlda24,10.225.33.154,ny4tdsatlda24r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.72,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KT1,8/2/2025 8:12,In use,Installed,,HDLDS,102,8235,40,2,,160,37,772909
B10563,,NA,Maintech,NY4,NO,YES,Linux Server,"2021.03.12 - ny4tdsatlda109 - as per M. Wunder , moved from Cage8895:Cabinet106 RU32 to Cage8235:Cabinet103 RU7, no network cabled
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda109 to ny4tdsatlda09 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",11/8/2021 15:47,DEV,ny4tdsatlda09,10.225.33.138,ny4tdsatlda09r.corp.tdsecurities.com,11/6/2021 12:00,10.225.16.181,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,n/a,MXQ1350KS9,8/2/2025 17:22,In use,Installed,,HDLDS,103,8235,40,2,36494.94,160,7,772905
B10569,,NA,Maintech,NY4,NO,YES,Linux Server,"2022.04.21 VERVIL6/Created as per TASK5035678 (bulk upload); no Hostname yet.
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda115 to ny4tdsatlda15 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",4/21/2022 10:44,DEV,ny4tdsatlda15,10.225.33.144,ny4tdsatlda15r.corp.tdsecurities.com,3/12/2022 12:00,10.225.16.187,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,"2022.04.21 - racked with power, no network",MXQ1350KSP,8/2/2025 17:22,In use,Installed,,HDLDS,103,8235,40,2,36494.94,160,6,772905
B10638,11/29/2025 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"20230407 - mckays7 - CHG1158732
- Built server as ny4tdsatlda18

20230526 - mckays7 - Changed state to ""In use""

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",1/28/2023 12:00,DEV,ny4tdsatlda18,10.225.33.147,ny4tdsatlda18r.corp.tdsecurities.com,1/28/2023 12:00,10.225.16.190,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,2023.01.28 - lamw2 - CHG1111437 - rack & cable,MXQ2421399,8/2/2025 17:23,In use,Installed,,HDLDS,103,8235,40,2,36494.94,160,11,772905
B10639,11/29/2025 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"20230407 - mckays7 - CHG1158732
- Built server as ny4tdsatlda19

20230526 - mckays7 - Changed state to ""In use""

2023.06.05 - RITM9172920 - zhane42 - Change IP
ny4tdsatlda19  > old 10.225.61.70  > update to new 10.225.16.174 /27
ny4tdsatlda19r > old 10.225.33.148 > update to new 10.225.33.104

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",1/28/2023 12:00,DEV,ny4tdsatlda19,10.225.33.104,ny4tdsatlda19r.corp.tdsecurities.com,1/28/2023 12:00,10.225.16.174,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,2023.01.28 - lamw2 - CHG1111437 - rack & cable,MXQ2421397,8/2/2025 17:18,In use,Installed,,HDLDS,103,8235,40,2,36494.94,160,12,772905
A30485,8/11/2026 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"2024.03.23 - LAMW2 - CHG1369584 - repurpose MXQ33108PW trcvbmapp02 decom unrack from TR2-103,RU19 and relocate to NY4-8235-103,RU34 and build as ny4tdsatlda21
2024.04.06 – LAMW2 - CHG1378982 - ny4tdsatlda21 MXQ33108PW relocate from TR2 to NY4-8235-103,RU34 DEV

20240503 - mckays7 - CHG1384297 Built server
- updated Appboxen
- Updated state to ""In Use""

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/8/2023 12:00,DEV,ny4tdsatlda21,10.225.33.9,ny4tdsatlda21r.corp.tdsecurities.com,9/8/2023 7:49,10.225.16.176,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,"http://ibom.tdbfg.com/website/HLOverview.aspx?ProjectID=36095 > CVBM
https://ibom.tdbfg.com/website/HLOverview.aspx?ProjectID=34905 > TDSAT \ HDLDS",MXQ33108PW,8/2/2025 17:21,In use,Installed,,HDLDS,103,8235,16,2,,64,34,257095
B11150,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"This was moved on this location on 9/16/2022
Oct 14 2022
==========
Previous Asset Tag was B11118
Got request to change it to B11150

2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KT8 old  ch-l-qa110 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda25

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/19/2022 19:40,DEV,ny4tdsatlda25,10.225.33.155,ny4tdsatlda25r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.73,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KT8,8/2/2025 7:58,In use,Installed,,HDLDS,103,8235,40,2,,160,35,772907
B11154,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"Moved to this location on 9/23/2022
2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KT9 old  ch-l-prod012 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda26

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/19/2022 19:44,DEV,ny4tdsatlda26,10.225.33.156,ny4tdsatlda26r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.74,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KT9,8/2/2025 7:58,In use,Installed,,HDLDS,103,8235,40,2,,160,36,772909
B11152,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"Moved on this location on 9/23/2022
2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KTB old  ch-l-prod011 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda27

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/19/2022 19:42,DEV,ny4tdsatlda27,10.225.33.157,ny4tdsatlda27r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.75,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KTB,8/2/2025 8:10,In use,Installed,,HDLDS,103,8235,40,2,,160,37,772909
B11252,,NA,Maintech,NY4,NO,YES,Windows Server,"2022.06.27 VERVIL6/Created as per TASK5357216 (new build)

2022.10.22 - LAMW2 - CHG1063131 relocate MXQ1350KT7 ny4tdsatlda116 from NY4-8235-105 RU7 (UAT) to  NY4-8235-103 RU3 (DEV) , new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda116 to ny4tdsatlda16 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

2023.06.21 -  server MXQ1350KT7 has been loaned out to RHOC for POC . ETA return back to TDSAT Aug 2023.  ny4tdsatlda16 rename to ny4rhocslua08
2024.03.27 - TAC8345 - Update to ""in use"" - Container POC

20240423 - mckays7 - CHG1394758 - Cool Down
- Change state to ""In Stock - Cool Down""
- To become MCOR POC server

20240430 - mckays7 - CHG1399209 - Server decommission
- Server to become ""ny4mcorlda20""
- Change state to ""In Stock - Wiped""
Old:
ny4rhocslua08.corp.tdsecurities.com (10.225.48.141)
ny4rhocslua08r.corp.tdsecurities.com (10.225.33.145)

New: 
ny4mcorlda20.corp.tdsecurities.com (10.225.56.122)
ny4mcorlda20r.corp.tdsecurities.com (10.225.33.145)

..[last_DAC:RHOCS]

20240430 - mckays7 - CHG1399237 - Server build for ny4mcorlda20
- Updated state to ""In Stock - Pending Install""
- Set Deployment Application code to ""MCOR""

20241029 - mckays7 - CHG1523245 - Server decommission - Cool Down
- Changed state to ""In stock - Cool down""

20241113 - mckays7 - CHG1533574 - Server decommission - Disk wipe
- Changed state to ""In stock - Wiped""

2025.02.28 -- repurpose from ny4mcorlda20 to ny4semapv05 for TDSGI LAB  [LAMW2]

2025.05.16 - aidoop2 - CHG1655983  Server decommission - Cool Down
2025.05.22 - stewah2 - Windows OS Install name change SIAADRNW01SEM , old name ny4semapv05
2025.07.29 - stewah2 - CHG1705081 SED Retrofit Veeam Backup & Diskwipe
2025.07.30 - stewah2 - CHG1705071 SED Retrofit Swap & Veeam Restore",6/27/2022 10:53,DEV,siaadrnw01sem,10.225.33.145,SIAADRNW01SEMR.d2-tdbfg.com \ ny4semapv05r.corp.tdsecurities.com,6/25/2022 12:00,10.225.56.122,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-Windows,TDSGI-Windows,,ProLiant DL360 Gen10 Plus,Windows 2022 Standard,Windows,Active,10.0.20348,"2022.04.21 - racked with power, no network
2024.04.30 - Rebuild as MCOR
2024.11.13 - DECOM
2025.02.28 -- repurpose from ny4mcorlda20 to ny4semapv05 for TDSGI LAB [LAMW2]
2025.05.22 -- repupose SIAADRNW01SEM  , https://ibom.tdbfg.com/website/DeviceDetails.aspx?ProjectID=37647&DeviceID=366794 [LAMW2]",MXQ1350KT7,8/2/2025 8:09,In use,Installed,,SEM,103,8235,40,2,18330,160,3,786432
B10593,11/29/2025 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"20230127 - mckays7 - Built server
20230517 - mckays7 - Changed state to ""In use""
20231115 - tab9241 - Cooldown ny4optilda30 [To be rebuilt with RHEL8.8]
20231116 - tab9241 - Disk wipe ny4optilda30  [To be rebuilt with RHEL8.8]..[last_DAC:OPTI]
20231117 - tab9241 - Server build with RHEL 8.8 - CHG1296785, ny4optilda30
2025/03/04 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX
# 2025/06/19 zhane42 - CHG1678998 - Cool Down ny4optilda30
# 2025/06/20 zhane42 - CHG1679019 - Server Decommission ny4optilda30
#2025.06.21 - lamw2 - CHG1675368 - SED Retrofit and RHEL9 build on separate request

20250707 - mckays7 - CHG1683314 - Server ny4optilda30 Rebuilt on SED drives with RHEL 9
20250709 - mckays7 - State changed from ""In Stock - Wiped"" to ""In Use""",1/14/2023 12:00,DEV,ny4optilda30,10.225.33.16,ny4optilda30r.corp.tdsecurities.com,1/14/2023 12:00,10.225.16.78,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,9.6,2023.01.14 - lamw2 - CHG1103704 - rack & cable,MXQ242138W,8/2/2025 17:15,In use,Installed,,OPTI,104,8235,40,2,36259.94,80,24,772930
B10564,,NA,Maintech,NY4,NO,YES,Linux Server,"2021.11.08 VERVIL6/Created as per TASK4282264
2021.03.12 - ny4tdsatlda110 - as per M. Wunder , moved from Cage8895:Cabinet106 RU31 to Cage8235:Cabinet104 RU7, no network cabled
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda110 to ny4tdsatlda10 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",11/8/2021 15:51,DEV,ny4tdsatlda10,10.225.33.139,ny4tdsatlda10r.corp.tdsecurities.com,11/6/2021 12:00,10.225.16.182,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,n/a,MXQ1350KTL,8/2/2025 17:21,In use,Installed,,HDLDS,104,8235,40,2,36494.94,160,7,772905
